SPEAKER,CONVO,SPRITE,AUDIO,BACKGROUND
,,,,
Teacher,...these youthful years will be coming to an end soon.,default,SPRING,BG classroom
,,,,
Teacher,But before thenXYZ don’t slack off!! Exams are almost upon us! Don’t forget to turn in assignments 3.2-3.4 by the end of this week too!,default,SPRING,BG classroom
,,,,
M,Almost a whole term has passed by since I’ve moved back to my childhood town. I’ve changed so much and experienced so much in this short time that I almost forgot that... eventually it would come to an end.,default,SPRING,BG classroom
,,,,
M,The seed of worry was planted the first time college exams were mentioned. And since thenXYZ slowly I’ve spent more and more time realizing I won’t be here forever.,default,SPRING,BG classroom
,,,,
M,I tried to tuck those thoughts away and spend time doing other thingsXYZ like learning pianoXYZ visiting cafesXYZ meeting new people,default,SPRING,BG classroom
,,,,
M,And of courseXYZ spending time with Haruka. Since midtermsXYZ Haruka has been keen on having me try her food oftenXYZ so we usually spend lunch together.,default,SPRING,BG classroom
,,,,
M,We always have so much to talk about that we end up finishing our conversations after class so... I usually just walk her home now. It’s a routine I’ve grown accustomed to.,default,SPRING,BG classroom
,,,,
M,But...,default,SPRING bittersweet,BG classroom
,,,,
M,Even these happy moments can’t stop time. SoonXYZ my high school years will be over. And soonXYZ we will go our separate ways. These happy timesXYZ in this townXYZ at this schoolXYZ will never happen again.,default,SPRING bittersweet,BG classroom
,,,,
M,I tell myselfXYZ that it’s just something I have to accept. Time is fleeting. Just like Haruka said about the cherry blossoms last SpringXYZ I should appreciate the temporary things even more…,default,SPRING bittersweet,BG classroom
,,,,
MC,Before they go...,none,SPRING bittersweet,BG classroom
,,,,
MC,But I don’t want them to go…,none,SPRING bittersweet,BG classroom
,,,,
M,Appreciation only goes so far... I can deal with admiring cherry blossoms from afarXYZ until they dwindle away and the season is over. But Haruka--,default,SPRING bittersweet,BG classroom
,,,,
Haruka,Hey!,joy2_blush,SPRING,BG classroom
,,,,
MC,H-Huh?,none,SPRING,BG classroom
,,,,
M,Haruka giggles in front of me.,default,SPRING,BG classroom
,,,,
Haruka,You’re completely out of itXYZ hehe. I asked if we’re still walking home today?,neutral2_blush,SPRING,BG classroom
,,,,
MC,…,none,SPRING,BG classroom
,,,,
M,These are the moments I don’t want to lose. No matter how mundaneXYZ I don’t want these simple things to be... temporary…,default,SPRING,BG classroom
,,,,
MC,Yeah... sorry. I was just thinking…,none,SPRING,BG classroom
,,,,
MC,Do you think we could make a detour on the way home?,none,SPRING,BG classroom
,,,,
Haruka,Hm? SureXYZ sounds fun! Where did you want to go?,smile_blush,SPRING,BG classroom
,,,,
MC,...secret.,none,SPRING,BG classroom
,,,,
M,Without saying muchXYZ we grabbed our bags and headed out. I led the way to somewhere I haven’t been in a while.,default,SPRING,BG grass1
,,,,
Haruka,Hmm? You’re really set on keeping it a secretXYZ huh?,neutral_blush,SPRING,BG grass1
,,,,
MC,Ha... sorry. We’re almost there.,none,SPRING,BG grass1
,,,,
M,We make our way to a paved pathXYZ not too far from the school. A path that isn’t so popular around this time of the year.,default,SPRING,BG blossoms
,,,,
M,But thereXYZ to meXYZ it will always be Spring. There doesn’t need to be cherry blossoms in full bloom for me to come here. Because... of the memories attached to this place. The people attached to this place.,default,SPRING,BG blossoms
,,,,
Haruka,Oh!,surprise2_blush,SPRING,BG blossoms
,,,,
M,The bare trees come into view. We stop and look at the treesXYZ dull and colorless.,default,SPRING,BG blossoms
,,,,
Haruka,HeheXYZ I see. This is where we first metXYZ isn’t it?,joy_blush,SPRING,BG blossoms
,,,,
MC,Mhm…,none,SPRING,BG blossoms
,,,,
M,Haruka looks at the trees as if they were dotted with blossoms still.,default,SPRING,BG blossoms
,,,,
Haruka,It’s almost the end of the school term already. Time has really flown by!,default,SPRING,BG blossoms
,,,,
MC,Yeah… it isXYZ isn’t it…,none,SPRING,BG blossoms
,,,,
MC,...,none,SPRING,BG blossoms
,,,,
MC,Haruka…,none,SPRING bittersweet,BG blossoms
,,,,
Haruka,Hm?,default,SPRING bittersweet,BG blossoms
,,,,
MC,...I wanted to take you here to say…,none,SPRING bittersweet,BG blossoms
,,,,
MC,Thank you.,none,SPRING bittersweet,BG blossoms
,,,,
Haruka,Thank you?,default,SPRING bittersweet,BG blossoms
,,,,
MC,For that one day... the first time we metXYZ here. I’ve thought about that conversation a lotXYZ you know… do you remember?,none,SPRING bittersweet,BG blossoms
,,,,
Haruka,Hehe. Of course I do! We talked about the blossomsXYZ and how they don’t last.,default,SPRING bittersweet,BG blossoms
,,,,
MC,Yes. You talked about their temporariness in such a positive way.,none,SPRING bittersweet,BG blossoms
,,,,
MC,Before thenXYZ I resented timeXYZ including the moving seasonsXYZ and anything that wasn’t permanent... but you helped me see the good in those things. And how to turn it into appreciation. In the way that you do.,none,SPRING bittersweet,BG blossoms
,,,,
Haruka,O-Oh! I’m happy my words... had that effect…,default,SPRING bittersweet,BG blossoms
,,,,
