SPEAKER,CONVO,SPRITE,AUDIO,BACKGROUND
MC, It’s okayXYZ I failed too. You’re not alone.,none,SPRING,default
M, After coming back from that *place*XYZ that was all I could muster up. I couldn’t collect all the keys to understanding Haruka…,default,SPRING,default
Haruka, Eh?? I’m sorry! Here I am complainingXYZ not thinking about how it would sound.,default,SPRING,default
MC, Oh noXYZ that’s not what…,none,SPRING,default
Haruka, No noXYZ you’re right. It does pull me back into reality knowing that others are in the same boat as I am. Thank you…,default,SPRING,default
MC, …,none,SPRING,default
M, It doesn’t feel quite right saying ‘You’re Welcome’,default,SPRING,default
M, I shouldn’t have said that… sureXYZ that might have made other people felt betterXYZ but…,default,SPRING,default
M, If I understood Haruka better… I would instantly realize that Haruka would just worry about my score instead. So I ended up not comforting her at all…,default,SPRING,default
Haruka, It’s okayXYZ don’t be sad! Let’s just focus on the fact midterms are over. We can both improve next time!,default,SPRING,default
MC, Y-Yeah…,none,SPRING,default
Haruka, How about we go get ice creamXYZ hm? My treat!,default,SPRING,default
M, We head out of the library. I am happy to see Haruka not… so sadXYZ but…,default,SPRING,default
M, It doesn’t take a genius to figure out she’s trying to cheer me up instead. SomehowXYZ my efforts were counter-intuitive.,default,SPRING,default
M, I’m sorryXYZ Haruka. You’ve showed me so muchXYZ and made my time here so pleasantXYZ but…,default,SPRING,default
M, I couldn’t even return the favor…,default,SPRING,default
