SPEAKER,CONVO,SPRITE,AUDIO,BACKGROUND
,,,,
MC,…,none,SUMMER bittersweet,BG grass2
,,,,
M,I couldn’t think of the right words to say. I want to just say nothing at allXYZ but that isn’t fair to Natsuki…,default,SUMMER bittersweet,BG grass2
,,,,
MC,uh… she…,none,SUMMER bittersweet,BG grass2
,,,,
Natsuki,Hah? Speak up idiotXYZ I can’t hear you over your city accent…,surprise,SUMMER bittersweet,BG grass2
,,,,
MC,...,none,SUMMER bittersweet,BG grass2
,,,,
MC,My family… erXYZ my mom uh…,none,SUMMER bittersweet,BG grass2
,,,,
MC,...,none,SUMMER bittersweet,BG grass2
,,,,
Natsuki,Ehhh? I don’t understand what you’re say--,surprise2,SUMMER bittersweet,BG grass2
,,,,
MC,She diedXYZ okay? I came back aloneXYZ there’s no one at my house to visit. I’m all alone.,none,SUMMER bittersweet,BG grass2
,,,,
M,Before I realized itXYZ my words came spilling out. Once my self-awareness hitXYZ I see a shocked Natsuki in front of me.,default,SUMMER bittersweet,BG grass2
,,,,
M,Shit… my chest feels even heavier as feelings of regret begin to seep in.,default,SUMMER bittersweet,BG grass2
,,,,
MC,Natsuki sorry I--,none,SUMMER bittersweet,BG grass2
,,,,
Natsuki,N-NoXYZ I’m sorry. I shouldn’t have been impatientXYZ I… I didn’t know that sh-she…,sad_surprise,SUMMER bittersweet,BG grass2
,,,,
Natsuki,I’m sorryXYZ okay!? I messed up. I’m sorry… I have to go…,sad,SUMMER bittersweet,BG grass2
,,,,
MC,Natsuki wait--,none,SUMMER bittersweet,BG grass2
,,,,
M,Before I could say anythingXYZ she was already gone. I should have been more upfront with my feelingsXYZ like Natsuki...,NONE,SUMMER bittersweet,BG grass2
,,,,
M,I should have just told her that I was struggling to say what I meantXYZ instead of forcing words out like that. We’re childhood friendsXYZ she wouldn’t have judged me for being honest. She’s Natsuki. She treasures unfiltered feelings the most,NONE,SUMMER bittersweet,BG grass2
,,,,
M,and I should’ve known that.,NONE,SUMMER bittersweet,BG grass2
,,,,
MC,Natsuki… It wasn’t your fault...,NONE,SUMMER bittersweet,BG grass2
