SPEAKER,CONVO,SPRITE,AUDIO,BACKGROUND
,,,,
M,I tried and tried to think but…,default,SUMMER,default
,,,,
M,I just couldn’t remember who she was.,default,SUMMER,default
,,,,
MC,I’m really sorryXYZ but…,none,SUMMER,default
,,,,
MC,Who... are you...?,none,SUMMER,default
,,,,
M,As the words left my mouthXYZ I could see a hint of hurt appear on the girl’s face.,default,SUMMER,default
,,,,
Natsuki,… Natsuki. Natsuki Kawakami.,tsundere,SUMMER,default
,,,,
M,As soon as she said her nameXYZ I felt a flood of nostalgia take over.,default,SUMMER,default
,,,,
M,Natsuki and I grew up togetherXYZ and I spent the majority of my summer vacations with her.,default,SUMMER,default
,,,,
M,That isXYZ until I moved away.,default,SUMMER,default
,,,,
M,She cried a bunch of tears that dayXYZ and yelled at her parents for not letting her come with me.,default,SUMMER,default
,,,,
M,How could I forget?,default,SUMMER,default
,,,,
MC,NatsukiXYZ shoot. Of course I remember! It’s so nice to be in the same school again.,none,SUMMER,default
,,,,
Natsuki,Idiot! Not nice enough for you to rememberXYZ I guess. Hmph.,surprise,SUMMER,default
,,,,
Natsuki,...It is nice to see your big dumb face again too.,tsundere_blush,SUMMER,default
,,,,
MC,Heh. I’m sorry thoughXYZ for not realizing earlier.,none,SUMMER,default
,,,,
Natsuki,WhateverXYZ I don’t care. It’s been years anywaysXYZ I just remembered you c-cause…,surprise2,SUMMER,default
,,,,
Natsuki,Cause who else has an idiot face like you! I could spot it a mile a way…,surprise2,SUMMER,default
,,,,
M,Those words hung in the air. They didn’t mean to butXYZ they made me feel even more ashamed.,default,SUMMER,default
,,,,
Natsuki,A-Anyways… I have to go back to practice so…,surprise_blush,SUMMER,default
,,,,
Natsuki,Feel free to show your stupid face here again. If you want.,surprise_blush,SUMMER,default
,,,,
M,She runs off before I could say anything back.,default,SUMMER,default
,,,,
MC,Natsuki…,none,SUMMER,default
,,,,
MC,Sorry…,none,SUMMER,default
